bay_name,grid_row,grid_col,level
PA55-6b,2,56,Level 1
PA57-6a,2,57,Level 1
PA57-6b,2,58,Level 1
PA59-6a,2,59,Level 1
PA59-6b,2,60,Level 1
PA61-6a,2,61,Level 1
PA61-6b,2,62,Level 1
PA63-6a,2,63,Level 1
PA63-6b,2,64,Level 1
PA65-6a,2,65,Level 1
PA65-6b,2,66,Level 1
PA67-6a,2,67,Level 1
PA67-6b,2,68,Level 1
PA69-6a,2,69,Level 1
PA69-6b,2,70,Level 1
PA71-6a,2,71,Level 1
PA71-6b,2,72,Level 1
PA73-6a,2,73,Level 1
PA73-6b,2,74,Level 1
PA75-6a,2,75,Level 1
PA75-6b,2,76,Level 1
PA77-6a,2,77,Level 1
PA77-6b,2,78,Level 1
PA79-6a,2,79,Level 1
PA79-6b,2,80,Level 1
PA81-6a,2,81,Level 1
PA81-6b,2,82,Level 1
PA83-6a,2,83,Level 1
PA83-6b,2,84,Level 1
PA85-6a,2,85,Level 1
PA85-6b,2,86,Level 1
PA87-6a,2,87,Level 1
PA87-6b,2,88,Level 1
PA89-6a,2,89,Level 1
PA89-6b,2,90,Level 1
PA91-6a,2,91,Level 1
PA91-6b,2,92,Level 1
PA93-6a,2,93,Level 1
PA93-6b,2,94,Level 1
PA95-6a,2,95,Level 1
PA95-6b,2,96,Level 1
PA97-6a,2,97,Level 1
PA97-6b,2,98,Level 1
PA99-6a,2,99,Level 1
PA99-6b,2,100,Level 1
PA101-6a,2,101,Level 1
PA101-6b,2,102,Level 1
PA103-6a,2,103,Level 1
PA103-6b,2,104,Level 1
PA105-6a,2,105,Level 1
PA105-6b,2,106,Level 1
PA107-6a,2,107,Level 1
PA107-6b,2,108,Level 1
PA109-6a,2,109,Level 1
PA109-6b,2,110,Level 1
PA111-6a,2,111,Level 1
PA111-6b,2,112,Level 1
PA113-6a,2,113,Level 1
PA113-6b,2,114,Level 1
PA115-6a,2,115,Level 1
PA115-6b,2,116,Level 1
PA117-6a,2,117,Level 1
PA117-6b,2,118,Level 1
PA1-5a,3,1,Level 1
PA1-5b,3,2,Level 1
PA3-5a,3,3,Level 1
PA3-5b,3,4,Level 1
PA5-5a,3,5,Level 1
PA5-5b,3,6,Level 1
PA7-5a,3,7,Level 1
PA7-5b,3,8,Level 1
PA9-5a,3,9,Level 1
PA9-5b,3,10,Level 1
PA11-5a,3,11,Level 1
PA11-5b,3,12,Level 1
PA13-5a,3,13,Level 1
PA13-5b,3,14,Level 1
PA15-5a,3,15,Level 1
PA15-5b,3,16,Level 1
PA17-5a,3,17,Level 1
PA17-5b,3,18,Level 1
PA19-5a,3,19,Level 1
PA19-5b,3,20,Level 1
PA21-5a,3,21,Level 1
PA21-5b,3,22,Level 1
PA23-5a,3,23,Level 1
PA23-5b,3,24,Level 1
PA25-5a,3,25,Level 1
PA25-5b,3,26,Level 1
PA27-5a,3,27,Level 1
PA27-5b,3,28,Level 1
PA29-5a,3,29,Level 1
PA29-5b,3,30,Level 1
PA31-5a,3,31,Level 1
PA31-5b,3,32,Level 1
PA33-5a,3,33,Level 1
PA33-5b,3,34,Level 1
PA35-5a,3,35,Level 1
PA35-5b,3,36,Level 1
PA37-5a,3,37,Level 1
PA37-5b,3,38,Level 1
PA39-5a,3,39,Level 1
PA39-5b,3,40,Level 1
PA41-5a,3,41,Level 1
PA41-5b,3,42,Level 1
PA43-5a,3,43,Level 1
PA43-5b,3,44,Level 1
PA45-5a,3,45,Level 1
PA45-5b,3,46,Level 1
PA47-5a,3,47,Level 1
PA47-5b,3,48,Level 1
PA49-5a,3,49,Level 1
PA49-5b,3,50,Level 1
PA51-5a,3,51,Level 1
PA51-5b,3,52,Level 1
PA53-5a,3,53,Level 1
PA53-5b,3,54,Level 1
PA55-5a,3,55,Level 1
PA55-5b,3,56,Level 1
PA57-5a,3,57,Level 1
PA57-5b,3,58,Level 1
PA59-5a,3,59,Level 1
PA59-5b,3,60,Level 1
PA61-5a,3,61,Level 1
